ROUTE,METHOD,PUBLIC_OR_PRIVATE,ROLE,AUTH_SOURCE,MIDDLEWARE,API_GUARD,CSRF,RATE_LIMIT,IDOR_SCOPE,TOKEN_TYPE,COOKIE_POLICY,SESSION_REVOCATION,TESTS
/api/coach/students/[studentId]/dossier,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/eaf-preparation-report,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/eaf-preparation-report,PUT,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/eaf-preparation-report/validate,POST,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/generated-reports/[reportId]/download,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/generated-reports/[reportId]/generate,UNRESOLVED,PUBLIC_OR_UNGUARDED_REVIEW_REQUIRED,NONE_EXPLICIT,NONE_FOUND,API_EXCLUDED_BY_MATCHER,NONE_FOUND,NONE_FOUND,NONE_FOUND,DYNAMIC_RESOURCE_SCOPE_NOT_PROVEN,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/generated-reports/[reportId]/regenerate,POST,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/generated-reports,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/generated-reports,POST,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/notes,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/notes,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId],GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/survival-mode,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/eam-summary,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/trajectory,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,ACTIVATION,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coaches/availability,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coaches/availability,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coaches/availability,DELETE,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coaches/available,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
